Figure 3A,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,CT11,CT12,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT34,CT35,CT36,CT37,CT38,CT39,CT40,CT41,CT42,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT51,CT52,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115
Vip,0.017382237,0.024747963,0.02633681,0.016448389,0.011526239,0.009950042,0.008881294,0.002591543,0.008798014,0.01915059,0.022510143,0.014972784,0.014514211,0.010978169,0.009126698,0.008496104,0.007264103,0.002957531,0.007004127,0.022685506,0.019714037,0,0.011845691,0.020725436,0.019990279,0.023163431,0.026389584,0.008891234,0.003482058,0.00626372,0.007960448,0.008676947,0.019759551,0.068811605,0.276262088,0.100536436,0.071150781,0.073048241,0.074495054,0.04965655,0.266002979,0.866456726,0.609424452,0.873764158,0.6763921,0.879003807,0.765614175,0.525781195,0.92465776,0.933474069,0.964182143,0.966216551,0.946858215,0.921143782,0.928170327,0.936488986,0.940726146,0.977468487,0.919615651,1,0.947602633,0.989220461,0.039183233,0.024108019,0.053850995,0.045601751,0.05974094,0.070181855,0.044651492,0.063041607,0.049567189,0.047455173,0.040508533,0.038348374,0.024470193,0.054071002,0.051354403,0.045248678,0.044997437,0.035265151,0.025400029,0.046570863,0.046655953,0.052153008,0.028304217,0.017704582,0.081061026,0.038688155,0.037000509,0.034598289,0.023171908,0.025050173,0.050749666,,,,,,,,,,,,,,,,,,,,,,
Tac2,0.005165209,0.002659915,0.001355176,0,0.002017867,0,0,0.148235169,0.143918901,0.001563933,0.003581526,0.009508662,0.130291824,0.008528605,0,0,0,0,0.000317408,0.002518298,0.003330314,0,0,0,0.002174212,0.002096976,0.006454366,0,0,0,0,0,0,0.021361753,0.43762385,0.7786257,0.625124193,0.017911893,0.016691783,0.008661992,0.931266564,0.830869835,0.039627245,0.925205242,0.668544115,0.905651003,0.807124316,0.385078405,0.559106073,0.095602793,0.028970178,0.71922348,0.766635143,0.432260456,0.94254021,0.71118131,0.911060286,1,0.836664136,0.982428403,0.944927384,0.973746374,0.008299229,0.002818733,0.009660109,0.012895177,0.026141823,0.012915128,0.004706311,0.021084576,0.015256115,0.009556893,0.04195192,0.424498869,0.006988661,0.013262462,0.010395907,0.001179198,0.01598696,0.675384042,0.005840231,0.017946671,0.069834278,0.001798553,0.008763328,0.002306381,0.003450431,0.006212328,0.001587072,0.00673967,0.00316855,0.003490079,0.010600658,,,,,,,,,,,,,,,,,,,,,,
Cck,0.850991365,0.847481451,0.850243918,0.806303211,0.7508454,0.774466733,0.817388711,0.871965784,0.893056342,0.887027255,0.905492491,0.899806179,0.883052378,0.859405425,0.413541468,0.596976414,0.66598019,0.698752974,0.687105643,0.037137975,0.035264014,0.68936862,0.219293331,0.614073055,0.423064741,0.554887743,0.487622947,0.338498749,0.763683419,0.657916695,0.532711333,0.772525642,0.013938067,0.820567739,0.824791894,0.69082417,0.32372094,0.45902786,0.670317695,0.609512185,1,0.852127126,0.825735003,0.983906788,0.893862176,0.910022371,0.342728558,0.033018129,0.411504076,0.031357269,0.03431587,0.830150871,0.272623263,0.036473715,0.209780969,0.033384259,0.434552724,0.707706194,0.635195133,0.855784074,0.795574051,0.969331158,0.01820193,0.102702651,0.07226194,0.326772029,0.181673878,0.017481237,0.02648399,0.166396045,0.20354045,0.03391084,0.022847203,0.081718223,0.015645615,0.030992404,0.024937477,0.162910041,0.023574567,0.234595678,0.04836752,0.514036611,0.483838974,0.325701781,0.533605944,0.600863964,0.532652178,0.570221623,0.642030927,0.664799151,0.561486379,0.604133623,0.719148972,,,,,,,,,,,,,,,,,,,,,,
Penk,0.410944059,0.024472115,0.510730971,0.003997074,0.004280996,0.001375035,0.001405789,0.003214387,0.144190136,0.64500123,0.409860215,0.224133875,0.163783992,0.475454894,0.00038242,0.00192702,0.003306454,0.032257831,0.081564538,0.001634182,0.002182937,0,0.00091229,0.000627677,0.002505709,0.004416872,0.002424323,0.001434084,0,0.002459957,0.003334517,0.000754541,0,0.134468414,0.034213735,0.034879546,0.406603153,0.030207249,0.012651016,0.030958069,0,0.021759724,0.007670152,0.024921688,0.020976711,0.027871226,1,0.969117893,0.943845558,0.878111538,0.882495579,0.329720073,0.84554868,0.820107479,0.685436474,0.90761991,0.856297064,0.082413623,0.636709554,0.958748489,0.85551212,0.281211187,0.796761894,0.277823788,0.084446375,0.009378907,0.031002032,0.021948919,0.005532688,0.424217546,0.713150333,0.340528343,0.004469658,0.006253681,0.003919968,0.014697208,0.229801841,0.401699304,0.139280156,0.023433246,0.002738495,0.387212667,0.860954781,0.050999382,0.717910601,0.260840956,0.522630078,0.170224838,0.016167415,0.00689422,0.005308121,0.0069281,0.012237865,,,,,,,,,,,,,,,,,,,,,,
Crh,0.027115678,0.022003564,0.247275342,0.000964448,0.00184976,0.002734052,0.02358591,0.243857741,0.00662424,0.000765364,0.001503598,0.000616012,0.001001963,0.01701519,0,0,0,0,0,0.001919752,0,0,0,0.001502725,0.001039683,0.003200957,0.001062985,0,0.123989516,0,0.184862314,0.621992953,0,0.183657466,0.060832521,0.009871939,0.020406433,0.012572552,0.011514988,0.010951801,0.445391729,0.61210689,0.004655296,0.71486625,0.354497915,0.685586651,0.918989398,0.925207548,0.812265332,0.8242565,0.718336862,0.595479391,0.422801004,0.165678318,0.834764368,0.614363211,0.961436147,0.9547158,0.936307526,1,0.924243368,0.963701239,0.015072156,0.011029394,0.012547359,0.01119242,0.014840904,0.024597635,0.009172223,0.012843597,0.008921882,0.00581835,0.005053762,0.413400898,0.003481599,0.007173591,0.142075808,0.629757316,0.652466688,0.72922527,0.792498408,0.686792353,0.44061205,0.007513988,0.294321296,0.263150492,0.009261292,0.002285844,0.005522767,0.003027803,0.002201985,0.004469509,0.010601326,,,,,,,,,,,,,,,,,,,,,,
Cort,0,0,0.002187639,0,0,0,0.002381516,0,0.00467952,0,0.002842789,0,0.011399682,0,0.25982369,0.069636408,0.362247579,0.359257773,0.421375749,0,0.000552792,0,0.033076092,0,0,0,0,0,0,0,0,0,0.124656844,0.115508904,0.293373912,0.16543222,0.158606393,0.510124576,0.638035797,0.756906799,0.252314939,0.125208726,0.083997633,0.243961464,0.010377197,0.326930933,0.487510349,0.320032413,0.61508745,0.259189602,0.256528113,0.355486982,0.431061569,0.240621297,0.007202611,0.586803925,0.49055244,0.656061671,0.67858311,0.773901185,0.737458071,0.051602029,0.861388613,0.818582794,0.885121231,0.88840648,0.819241061,0.684280009,0.770016361,0.8746406,0.717077836,0.665374537,0.190431481,0.451813837,0.416005258,0.582543692,0.934127035,0.941561099,0.898897481,0.261857065,0.397299241,0.446338623,1,0.660102199,0.833168691,0.665813217,0.87302753,0.723642793,0.669758875,0.705004501,0.42325986,0.856150251,0.724325239,,,,,,,,,,,,,,,,,,,,,,
Tac1,0,0,0,0,0.000655492,0,0,0,0,0,0.000195291,0,0.266694479,0,0,0.404541705,0.224767043,0.263145318,0.000620331,0.00065382,0.001105092,0,0.00226544,0,0,0,0,0,0.000293214,0,0.000666538,0,0.014558956,0,0,0.00113165,0.001197712,0,0.001286943,0.126609145,0,0.002054506,0.005020667,0.004437825,0.003835752,0,0.000655492,0,0.000649794,0.001257091,0,0,0.0017308,0.000554246,0.001107347,0.000644503,0.001466338,0.001013372,0.003041127,0.003106657,0.005169158,0.002971029,0.002791623,0.016520653,0.790148052,1,0.46012203,0.004513203,0.002321475,0.001403192,0.005229433,0.001050299,0.003753817,0,0.001358306,0,0.005530372,0.002236873,0.002702932,0.002984512,0,0.009624791,0.006854506,0.724619441,0.956334392,0.88557095,0.91882056,0.837372731,0.865918908,0.84198544,0.364834256,0.830899606,0.57629681,,,,,,,,,,,,,,,,,,,,,,
Pdyn,0.267816507,0.174310196,0.132616203,0,0,0,0,0,0.000273702,0,0,0,0,0.018614606,0,0,0.005547932,0.213479183,0.118130121,0,0,0,0,0,0,0,0,0,0,0,0.094030345,0.092456294,0,0.002875262,0,0.000696234,0,8.41E-05,0.000425698,0,0,0,0,0,0,0,0,0.000251296,0.001107185,0.000456812,0,0,0,0,0,0,0,0,0.000464542,0,0,0,0.398368209,0.462014743,0.152087032,0.250420067,0.500399765,0.760383621,0.694241943,0.612776137,0.001848963,0.450007339,0.93759792,0.911266657,1,0.961760423,0.758778627,0.223276405,0.241128542,0.553080571,0.002871639,0,0.002372771,0.001256418,0.001487701,0,0.000749647,0.001463703,0.000436217,0,0.00067051,0,0,,,,,,,,,,,,,,,,,,,,,,
Pthlh,0,0,0,0.040250356,0.005358204,0,0.243931204,0.210641969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000848728,0,0,0,0,0,0,0,0,0,0,0,0.002502152,0.056708379,0.266667609,0.0615998,0.45327171,0,0.006147243,0.001886551,0,0.010095666,0.673796959,0.545200567,0.355733672,0.84501741,0.907386656,0.852913819,0.758614366,1,0.930644608,0.824131646,0.800557178,0.680365499,0.920956548,0.868790017,0.702690208,0.885988337,0.153616489,0.002468166,0,0.091514035,0.241643602,0.004292143,0.001231709,0.064747457,0.001489087,0,0,0,0,0,0,0.001755377,0,0.009393047,0,0,0.001544355,0.332939076,0.220347572,0.334154117,0.369331108,0.478392906,0.391696911,0.635103725,0.62752454,0.667913418,0.556065348,0.960936965,,,,,,,,,,,,,,,,,,,,,,
Pnoc,0,0,0,0,0,0,0,0,0.000333158,0,0,0,0.000977481,0,0.01076784,0,0,0,0,0.000747682,0,0,0,0.000789164,0,0,0,0.001025979,0.000285604,0,0,0.033722075,0.03418588,0.847086886,0.665337717,0.34078654,0.694446921,0.842933107,0.955869692,0.982101635,0.427871339,0.917233198,0.751071879,0.873895173,0.848540753,0.924961252,0.863276527,0.665244485,0.78099881,0.789383233,0.597542045,0.49187731,0.290140709,0.002679568,0.469752054,0.833794907,0.884767947,0.86184106,0.908157055,1,0.976738692,0.988004996,0,0.21977725,0.003690032,0.057393338,0.005681182,0.002421309,0.057794921,0.288001054,0.481098134,0.159117508,0.271784997,0.422237681,0.732611194,0.658698757,0.510448741,0.379814638,0.550631086,0.216652772,0.130392149,0.388299454,0.896539888,0.920691131,0.607509212,0.434275752,0.134495399,0.378222678,0.443126393,0.152972434,0.431946567,0.22926418,0.295609339,,,,,,,,,,,,,,,,,,,,,,
Trh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001436862,0,0,0.139027717,0,0,0,0,0,0,0.003955566,0.127920212,0.45874351,0.371062141,0.642475932,1,0,0,0,0,0,0,0.162096796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Grp,0.510796975,0.67142737,0.396262409,0,0,0,0,0,0,0,0,0,0,0,0.841520859,0.115810352,0.720488967,0.718892242,0.255721187,0.648842505,0.89863084,0,1,0,0.401395451,0.99450621,0.670956008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016125077,0.087066261,0.534511369,0.662546502,0.406880009,0.019526828,0.00177992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361516512,0,0.481974912,0.020182434,0.085287512,0,0.001113941,0,0,0.013875387,0,,,,,,,,,,,,,,,,,,,,,,
Rln1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313272994,0.077323006,0.0868757,0,0,0,0,0,0.274625192,0.329396291,0.424415993,0.106894136,0,0.131770777,0,0.100753407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.545406153,0.248997452,0.008645774,0.475761378,0.598018481,0.465623266,0.516132701,0.243078705,0.37090097,0.520915433,0.571295838,0.481919159,0.476213268,0.61520046,0.647223539,0.752231838,0.359471841,0.392060905,0.325061706,0.680252397,0,0.192024585,0,0,0.031301646,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Adcyap1,0.807673927,0.057185265,0.674897759,0.869005674,0.708611702,0.197670944,0.207342688,0.663021813,0.8841334,0.005797968,0.038681167,0.007298728,0.820724056,0,0.382095065,0.820357284,0.83934616,0.974475876,1,0,0.106339116,0,0.550839227,0,0.028615341,0,0,0,0,0,0.059367049,0.421207149,0.081179267,0,0,0.277370524,0.498510374,0.205688435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Nts,0,0,0,0,0.099049598,0.220885974,0,0,0,0,0,0,0,0,0,0.08552638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063766091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132367945,0.170554249,0,0,0,1,0,0.435786295,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Nmb,0.078296521,0.039491461,0.064666568,0.073748382,0.066080633,0.021618779,0.022163569,0.0369603,0.024598984,0.055553608,0.02277518,0.075900432,0.055770872,1,0.046359627,0.036735173,0.064180955,0.140523343,0.079998602,0.013055888,0.060078374,0.105028461,0.027270603,0.044551852,0.033181254,0.026221107,0.017192885,0.025500861,0.038802224,0.071723765,0.21634797,0,0.551052848,0.006967616,0,0.027043942,0.017862908,0.077262575,0.159313345,0.142371806,0.048153538,0.107450757,0.057025785,0.13386461,0.243831958,0.12357782,0.041361536,0.017172357,0,0.030487622,0.190984173,0.296867756,0.033758962,0.080130383,0.000676534,0.001612515,0.035451287,0.246867747,0.097357111,0,0,0,0.078213239,0.027043942,0.024982021,0,0.057469004,0.036176498,0.08251519,0.01717974,0.009031676,0.017280457,0.022464975,0.028799859,0.015281596,0.058624919,0.010906922,0.017040088,0.051118916,0.051800067,0,0.031475318,0.045926477,0.019498357,0.02225643,0.040832637,0.007266576,0.029921789,0.007194982,0.00733033,0.023079167,0.008175225,0.029364701,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5B,CT1,CT2,CT3,CT7,CT8,CT9,CT10,CT11,CT12,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT37,CT39,CT41,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115,,,,,,,,,,,,,,,,,,,,,,
Sstr2,0.295357808,0.386328931,0.135782181,0.513669895,0.717907454,0.848328831,0.820167594,0.825827518,0.752281237,0.748588076,0.799862601,0.680292339,0.677821302,1,0.740255026,0.766616921,0.711482521,0.587959649,0.565057857,0.001301811,0.019444583,0.572920336,0.541831077,0.506094552,0.481642877,0.50320381,0.584042863,0.647648726,0.829348697,0.669339811,0,0.418255571,0,0.43704787,0.732254714,0.775215959,0.742457269,0.665293309,0.434625421,0.540644504,0.621975657,0.48807564,0,0.484204903,0.595648253,0.681818698,0.797962245,0.431699313,0.499519911,0.508417109,0.460246415,0.506957961,0.053447053,0.235234047,0.530471675,0.421504486,0.576448947,0.854907095,0.597826886,0.740830689,0.604419599,0.548751833,0,0.063090514,0.01042409,0.340072748,0.130702127,0.003168964,0.153990711,0.259217856,0.042164717,0.518876394,0.435456933,0.250021523,0,0,0.026468195,0.056652464,0.004505229,0.372979229,0.310892331,0.237134081,0.098713244,0.00074289,0,0.03147509,0,0,0.000494452,0.129546285,0.380586069,0.406894436,0.791581885,,,,,,,,,,,,,,,,,,,,,,
Npy2r,0,0.023526857,0,0,0,0,0,0,0,0.031235142,0.252776733,0.340388201,0.179399024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088765724,0.636528237,0.784220477,0.625174363,0.02084509,0,0,0,0.974180457,1,0.643377654,0,0.001516523,0.577727727,0.692420716,0.777437755,0.920105144,0.943376568,0.68908386,0.658742866,0.964371899,0.774943061,0.480207881,0.132279145,0,0.40850312,0.000288102,0,0.728327095,0.033714639,0.07694422,0.102116168,0.02152372,0.39836306,0.241942466,0,0,0,0,0,0,0,0.119404442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Npy1r,0.557573277,0.598030313,0.715109036,0.684805764,0.475154848,0.514344531,0.516225057,0.500693572,0.607776688,0.50473188,0.435239873,0.410497057,0.353938365,0.390719613,0.073481131,0.285905345,0.026873695,0.192753333,0.246908561,0.000633194,0.094383991,0.398460008,0.267532406,0.169712661,0.411753239,0.312751248,0.385847116,0.21011911,0.509218456,0.290678711,0.013458494,0.127484023,0,0.293582395,0.596724864,0.583714833,0.629976987,0.332895907,0.106260932,0.046121524,0.779281842,0.78770789,0.64660667,0.802623619,0.60949499,0.71394788,1,0.85453773,0.973203897,0.929062566,0.943070578,0.891818009,0.816452922,0.924814497,0.859875315,0.802444853,0.863779698,0.807991437,0.891185181,0.789478519,0.585773753,0.856020117,0.217584971,0,0.000366409,0,0.004212026,0,0,0,0,0,0,0,0,0,0.01655586,0.174523589,0.193146093,0.23157885,0.52925533,0.372174945,0.342995489,0,0,0,0,0.000803293,0,0,0,0,0.000505828,,,,,,,,,,,,,,,,,,,,,,
Grpr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063154149,0,0.272924453,0.235237521,0.752490769,0.660415787,0.488116421,0.865451219,0.81628192,0.80342971,0.848490577,0.913123649,0.895713138,1,0.884144744,0.767270772,0.924793922,0.875324227,0.754396759,0.624548013,0.72660316,0,0.227250845,0.258326844,0.073507866,0.204090247,0.010350094,0.265842099,0.197210331,0,0,0,0,0,0,0.013045706,0.441742311,0.026578469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cckbr,0.910097781,0.813056145,0.909450298,0.843079797,0.860937891,0.873834414,0.771304326,0.803114321,0.703668819,0.89393382,0.892758334,0.741020953,0.741263137,0.46203353,0.515361862,0.641472697,0.706308756,0.849607959,0.823544694,0,0,0.131144743,0.785167344,0.745429019,0.861385112,0.788184132,0.803552334,0.83137092,0.933367677,0.88864787,0.975535568,1,0.952879384,0.107413651,0.047856387,0,0,0,0.08988991,0,0.176676962,0,0.003152735,0,0.042346026,0,0,0,0,0,0,0,0,0,0,0,0,0.00024625,0,0,0,0,0,0.536355718,0.368463041,0.129084393,0.354292556,0.15443536,0.312775136,0.245163992,0.009897121,0.004338001,0.030194999,0,0.000912768,0.580084112,0.649715665,0.60799,0.440901582,0.00306811,0.001221601,0.426788603,0.670715162,0.723741055,0.596326994,0.541783016,0.663918703,0.588212683,0.714234101,0.63677578,0.57348632,0.692648853,0.019178901,,,,,,,,,,,,,,,,,,,,,,
Ntsr2,0.307724251,0.349655295,0.321324025,0.003177592,0.161466934,0.329123579,0.349822514,0.662337876,0.440371535,0.277603363,0.343076957,0.503220514,0.70281456,0.89706124,0,0.079979006,0.107527318,0.298628591,0.129723646,0.000609902,0.003975548,0.936961862,0.035825975,0.619810975,0.084562496,0.00034228,0.370142883,0.395982019,0,0,0,0.022020428,0.913403576,0,0,0.001944332,0.126273005,0.001356459,0.000797902,0,0.0162445,0.290707856,0.156336306,0.123127028,0.458569725,0.336357941,0.843474873,1,0.63911677,0.806751104,0.462735931,0.268076539,0.514205573,0.668476093,0.212901943,0.050449208,0.006976129,0.053441213,0.340505623,0,0,0,0,0,0,0.105131982,0,0.000939041,0,0.003309818,0,0,0,0,0,0.008089771,0,0.031556193,0.052502417,0.074213073,0.249854306,0.144635803,0.065817995,0,0,0.001694376,0,0.005879487,0.003235156,0,0.068757632,0,0.228100721,,,,,,,,,,,,,,,,,,,,,,
Npy5r,0.221551353,0.45413706,0.682277453,0.487744277,0.318193135,0.341914104,0.488883675,0.512268924,0.63036607,0.384106439,0.083023662,0.188453378,0.218035565,0.329044425,0.010504747,0.447452105,0.193195302,0.390605901,0.399053235,0.003683125,0.016632188,0,0.180395641,0.007603496,0.306963175,0.123242099,0.190203297,0.08255357,0.349910901,0.12621237,0,0,0,0.206613029,0.610683238,0.518348744,0.537376686,0.128309065,0.025619495,0.167547521,0.811388323,0.658136779,0.658560142,0.769193677,0.680831462,0.622305034,0.888434151,0.833579574,0.986287831,0.983703325,1,0.936034062,0.855818271,0.928761777,0.791300003,0.852763223,0.902401046,0.753340079,0.913581219,0.696861,0.531786772,0.791729275,0.306157634,0.148619845,0.047127945,0,0.11843031,0.000506754,0.01070744,0,0,0,0,0.250482745,0,0.006622164,0.350655708,0.48410004,0.329970222,0.464038937,0.623146052,0.467435949,0.368437663,0,0.177721368,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Nmbr,0,0,0,0,0,0,0,0.072383928,0.006726581,0,0,0,0,0.011714455,0,0,0,0,0,0,0.006777919,0,0,0.290477498,0,0.006967501,0.107474142,0.066732255,0.503599402,0.310368988,0,0.035491627,0.016901306,0.4798366,0.109700654,0.058830264,0,0.136670465,0.262929991,0.561521183,0,0,0,0.0007436,0,0.08937168,0.065679535,0,0,0,0,0,0.179370148,0.027590563,0.077579615,0.005673267,0.158689851,0,0.007543079,0,0,0,0.021903171,0.390738867,0.087602457,0.0446,0.303860235,0,0,0,0,0,0,0.221076866,0,0,0.730657206,1,0.71623932,0.211735147,0.82090464,0.181814023,0.128979677,0.280534608,0.41365527,0.078238268,0.10334089,0.016805298,0,0,0.000372109,0,0,,,,,,,,,,,,,,,,,,,,,,
Rxfp1,0,0,0,0,0.163771202,0.328542798,0.00414298,0,0.318383583,0.161114174,0.69199806,0.817532404,0.577308096,1,0.43586733,0.155442934,0.65050915,0.308939413,0.340485253,0,0.10051039,0,0.466782547,0,0.000249973,0.023819295,0.051145002,0.083853553,0.851923407,0.604335807,0.466853769,0.508612615,0.071766028,0.000850288,0.809643128,0.890115517,0.931698746,0.757885399,0.003954308,0.00162059,0,0.95161635,0.78572446,0.584416082,0,0,0.562079635,0.001321483,0.253464459,0.662080401,0.115024657,0,0,0,0.561275253,0,0.549077631,0.575033523,0.78610531,0.347648814,0.010450699,0.711656943,0,0,0,0,0,0,0.000496336,0.000605295,0,0,0,0,0,0,0,0,0,0.265349451,0.384591994,0.567307972,0,0.103822646,0.18213562,0.059412542,0.000322998,0,0.000280488,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Sstr4,0.494328164,0.588719289,0.068655267,0,0.330214699,0.786206344,0.705638689,0.204091474,0.405114503,0.77035614,0.850235602,0.891757733,0.596386947,0.249348093,0.800083014,0.721693355,0.860744555,0.884054696,0.866726516,0.396729318,0.714996819,0,1,0.762953407,0.997583931,0.958851478,0.841120171,0.83495723,0.845341721,0.820255481,0.706947031,0.703792901,0.209390808,0.536194879,0,0,0,0.08674149,0.48095028,0.006096367,0,0.483222608,0.679222133,0,0.502113222,0.666096237,0.632740187,0.6939912,0.830473604,0.386447754,0.0414055,0,0.205133582,0.05328065,0.281831172,0.556020324,0.506438646,0.41788032,0.827810183,0.749072091,0.843530472,0.615709845,0,0.20361977,0.183973242,0.22961352,0.279695697,0.099444172,0.171846319,0.369556228,0.401919131,0.375265096,0.001279344,0,0,0.027271527,0,0,0,0,0,0.011416513,0,0.491234705,0.095389359,0.262666559,0.295621161,0.003655342,0.165228858,0.194768946,0.189949886,0.328393992,0.431896938,,,,,,,,,,,,,,,,,,,,,,
Trhr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.76752958,0,0,0,0,0,0,0,0,0,0.250967351,0,0.628058832,0,0,0,0,0,0.000933195,0,0,0.223791853,0,0.208435817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Sstr1,0.237150803,0.424020825,0.363081936,0.105004088,0.000547799,0,0.000825548,0.372068497,0.476330258,0.519393576,0.33295356,0.520497013,0.547813371,0.429866075,0,0.052909118,0.101862346,0.249827639,0.253530042,0.029795764,0.097605968,0.956475529,0.483881703,0.245787663,0.199351825,0.41352742,0.550477415,0.35492236,0,0,0,0,0,0.276851166,0.200290462,0.545549379,0.423590546,0.475699736,0.397774321,0.037547375,0.00246473,0.02367374,0,0,0.032329575,0.241697799,0.765699804,1,0.711820663,0.522992631,0.179270725,0,0,0.023710017,0,0.001523506,0,0,0.063488258,0,0,0.050592287,0.05475928,0.199224672,0.511695359,0.478615315,0.631061211,0.693139003,0.693390023,0.780041537,0.889015925,0.979106667,0.540561897,0.163258974,0,0.27245111,0.243685324,0.330147437,0.791693774,0.733664472,0.557779798,0.680282992,0.866349312,0.726114976,0.354625108,0.093819253,0.087671606,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Adcyap1r1,0.205027932,0.606642522,0.540473486,0.489727291,0.5642498,0.519489071,0.467670012,0.672945042,0.555176524,0.739051753,0.608316958,0.881948602,0.635349275,0.387047124,0.278851857,0.001267825,0.000310534,0.00019242,0,0.535005121,0.595120741,0,0.133297114,0.637147861,0.009485439,0.032664775,0.213884777,0.514389473,0.526833851,0.4654083,0.506059463,0.446098144,0.40313531,0.740564694,0.771723868,0.762082406,0.805091599,0.674836651,0.707880187,0.702444857,0.661993057,0.851764323,0.769237077,0.887648957,0.892581344,0.881047096,1,0.964442682,0.931565365,0.612837369,0.663892716,0.660697652,0.712089016,0.668884507,0.949305742,0.807317394,0.940084367,0.784672276,0.851346781,0.894347831,0.852470187,0.927027497,0.657955824,0.917417683,0.947911729,0.902649742,0.995391454,0.908438523,0.934458492,0.872272891,0.82328502,0.930714655,0.880341981,0.929844745,0.869580467,0.900830486,0.966542717,0.944420678,0.897665863,0.778629592,0.799348114,0.642362111,0.237409013,0.783178475,0.575814837,0.685435961,0.7899695,0.702652244,0.749056898,0.766671089,0.668222493,0.768651328,0.780945957,,,,,,,,,,,,,,,,,,,,,,
