HE_genes,DE_genes,NP_genes
Nkiras1,Nrg1,
Cdr1,St3gal5,
Ssbp2,Fam184a,
Gabrb1,Grb14,
Dgkb,Gsg1l,
Kctd6,Rgs9,
Itpka,D130043K22Rik,
Pdia6,Dusp18,
Srp14,Slc27a1,
Lrrc4c,G0s2,
Gria4,Cacna1g,
Tmem151a,Pcdh15,
Adcyap1,Usp2,
Inpp5f,Epha6,
Pamr1,Vegfa,
Atp5k,4930430F08Rik,
Brinp3,Galk1,
Ap1s1,Aifm3,
Sorbs1,Ddit4l,
Mt3,Snca,
B3galt2,Gpr123,
Wls,Cd24a,
Mgll,Lrrc75a,
Mgp,Kcnb2,
Mgat4c,Bean1,
Dmxl2,Scg2,
Coa3,A830082K12Rik,
Grin3a,Klhl40,
Rab18,Arhgef15,
Tmem50a,Nr4a3,
Ak5,Rasgrf1,
Pantr1,Sowaha,
Mtch2,Spns2,
Ypel5,Lrfn5,
Mas1,Lhpp,
Vmp1,Cntn5,
Cdh9,Relt,
Krt73,Tmem35,
Ankrd12,Tgfb1i1,
Dgkh,A230006K03Rik,
Mbnl2,Pls3,
Etnk1,Arid5b,
Pcdh7,Jup,
Ano3,Matn2,
Rps3,H2-DMa,
Tia1,Grb10,
Dmtn,Ralyl,
Spock1,Cxxc5,
Thy1,Vstm2l,
Ftl1,Ppcdc,
Pam,Smad3,
BC005561,Tnfaip8l3,
Col6a1,Slit1,
Cfl2,Htr2a,
Capzb,Ptgs1,
Gm11223,Pld5,
Map2k4,A330102I10Rik,
Hspa4l,Cdh7,
Arpc5,Tox3,
Pik3r1,Khdrbs2,
Zbtb18,2610034B18Rik,
Vps41,Hpcal4,
Dmd,LOC105244000,
Ndufa7,Sh3rf3,
Plcb1,Ppapdc1a,
Ivns1abp,Plch2,
Arhgdig,Wdpcp,
Vps28,Bcar3,
Pkia,Pmepa1,
Ap2s1,Dcdc2a,
Atp6v0d1,Trmt2b,
S100a10,Hpca,
Apc,Unc5a,
Nyap2,Ptchd1,
Tmx4,Dclk3,
Kras,Pou3f3,
Prps1,Plk2,
Pdha1,Agpat4,
Ndufs4,Mast4,
Negr1,Cers6,
Clip3,Drd1,
Cadps,Lsm11,
Cbx5,Slc6a6,
Synj1,Ethe1,
Pafah1b2,Echdc2,
Podxl2,Gpsm2,
Acot13,Slc8a1,
Cplx2,Neurod1,
Foxp1,Rin1,
Map9,Trim66,
2900055J20Rik,Rerg,
11-Sep,Serpina3n,
Tceb2,9630033F20Rik,
Atp6v0a1,Cdc42ep2,
Bhlhe40,Epha10,
Bclaf1,Ptp4a3,
Spcs2,Hunk,
