HE_genes,DE_genes,NP_genes
Grasp,Crabp1,
Ube2d1,C7,
Tomm40,Faim2,
Dlgap4,Tgfbi,
Cdh10,Fgf17,
Azi2,Tgm2,
Ubxn4,Crygs,
Mdp1,Fam129a,
Trim28,Mfsd2a,
Agrn,LOC105242908,
Wac,Plekhh1,
Scn2b,Insl6,
Slu7,Ak3l2-ps,
Tmem25,Tagln,
Cdadc1,Cenpf,
Pcbd1,St18,
Fsd1l,Slc22a17,
Kctd4,Mapt,
Eftud2,Nwd1,
Vcpip1,Mllt11,
Ppp2cb,Fam92b,
Nsfl1c,Itga5,
Taz,C1ql1,
Sgsm1,Mir703,
Fem1b,AU022754,
Snx13,Stmn1-rs1,
Atp5s,Naa11,
Ttbk2,Clec10a,
Ints10,Bche,
Ncoa7,Glt28d2,
Nat14,Ppp1r36,
Syt6,Emp3,
Sptssa,Knstrn,
Thumpd1,AI464131,
Nova1,Kif11,
Mrpl4,Ndrg4,
Pcdh15,Mc5r,
Scn3b,LOC105244017,
Cpeb2,Sdc1,
Cnpy2,Zcchc18,
Fbxl2,Pnp2,
Mctp1,Hmgb1-ps4,
Ltn1,Fabp3,
Rab33a,Tubb2a,
Apmap,Col6a3,
Slc35f4,Ly6d,
Rcn1,LOC105245960,
Zbtb11,E130114P18Rik,
Hmg20a,Slc10a4,
Tnnt1,Tnfaip8,
Smc6,Sod3,
Nrp1,Caly,
Pcyox1,Galm,
Sbf2,Tgfa,
Setx,Acot7,
Mettl10,Batf3,
Arfrp1,Krt73,
Ptma,Zfp36l2,
Zc3h14,Fam83d,
Tmem183a,Rhoj,
Jund,Slc2a5,
Tmem208,Acsbg1,
Shprh,Pfn2,
Add2,Egfl8,
Fam21,Stxbp1,
Gm33989,Kcne4,
Abcd3,Cbs,
Slc25a33,9930014A18Rik,
Ipo7,Klc1,
Paf1,Dera,
Prickle1,Rasl12,
Tiam1,Mdk,
Appbp2,Atp6v1a,
Scn3a,Depdc7,
Poldip2,Tacstd2,
Rpl26,Atp10a,
Dda1,Palm3,
Xrn2,Hic1,
Wdr82,Tspan2os,
Lpl,Cpe,
A330050F15Rik,Cd274,
B4galt6,LOC102638110,
Igfn1,Sncb,
Acsl4,Fzd6,
Pik3ca,Mir3064,
Tmem128,E030003E18Rik,
LOC105243585,Tnni1,
Abhd17a,Myof,
BC004004,App,
Gspt1,Syp,
Rad21,Col11a2,
Ulk2,Sox3,
Arpc4,Snhg18,
Man2a2,Tceal5,
LOC105242619,Cxx1c,
Bfar,Psip1,
Otub1,Edn3,
Gm15800,Rec114,
Ssr1,Melk,
Pmpcb,Plekhd1,
Acadl,Acan,
Snrnp27,Ckap2l,
Rpl13a,Gpm6a,
Nudt11,Pros1,
Arfgef1,Rasgrp3,
Pik3c3,Tceal3,
Tmem258,Atp6v0e2,
Cspp1,Lman1l,
H1f0,Pard3b,
Itsn2,Gpr182,
Commd8,Gimap6,
Rplp2,Asap3,
Chchd1,Prok2,
Stag2,Megf10,
Wdr13,H3f3c,
1700020I14Rik,LOC105243543,
Zmiz1,Ptprb,
Ubr5,Lyz2,
Klhl24,Pdgfra,
Pex11b,Cd63-ps,
Gdap1l1,Mup5,
Mdm4,Pdlim4,
3830406C13Rik,Cybrd1,
Rpl15,Synpo2,
Gnl1,Pla2g4a,
Ngf,Nde1,
Fech,Zfp36,
Wrb,Spata19,
Jdp2,Gpr34,
Rab12,Ptgdr,
Pdxdc1,Gdf7,
Mrpl27,Tril,
Rps4x,Gab1,
Chpf,Cped1,
AI314180,Lepr,
Nrbp2,Fgf16,
Rmnd5a,Gas2l3,
Snx1,Igf2bp2,
Tpd52l2,Col18a1,
Crebbp,Mag,
Ythdf3,Mki67,
Dusp11,LOC105244517,
Nipbl,Cd248,
Sf3a3,Nostrin,
Gucy1b3,Ms4a6c,
Slirp,S100a13,
Stxbp5,Krtcap3,
Bap1,9630013A20Rik,
Arih1,2310002F09Rik,
Mrpl36,2610042L04Rik,
Lars,Eln,
Anapc4,Mxra8,
Pfdn2,Pde8a,
Acot9,A730090H04Rik,
Elovl5,LOC102634887,
Larp4b,Enpp1,
Npy5r,Hhip,
Slc9a6,Npbwr1,
Dock10,Tmem59l,
Drg2,Bmp7,
Spats2l,Emx2,
Anapc1,Pbxip1,
Ngrn,Snap47,
Scube1,Fgl2,
Taf1,Eng,
Zfp866,Ngfrap1,
Ubap2l,Arhgap11a,
Zmynd8,Adamts4,
Rars,Zcchc24,
Actn4,4930447N08Rik,
Trp53bp1,Ccdc42,
Krit1,Siglecf,
Lpin2,Mertk,
Tbc1d19,Timp1,
Kif2a,C3ar1,
Rnf146,Colec12,
Aup1,Krt17,
Exosc9,Ntng2,
Lsm8,Defb1,
Ccsap,Lrrc9,
Scaf11,Ckap2,
Ssrp1,Tmem100,
Sez6l2,Emx2os,
Zc3h7a,Mis18bp1,
Zfp943,Gramd3,
Rae1,5033421B08Rik,
Psme3,Cyp2j9,
Capn7,2810404M03Rik,
Rnf20,LOC102638195,
Mrpl17,Marcksl1-ps3,
Wnt5b,Gabrq,
Hnrnpul2,Tspan3,
Ubash3b,Fbxl7,
Eny2,Ncf2,
Camk2g,Cpq,
Sf3b3,Dmrtb1,
Ube2g1,Hepacam,
Birc2,6530403H02Rik,
Lrp12,H3f3a-ps2,
Dtl,Slc1a5,
Supt5,LOC105245190,
Ict1,Lrrc17,
Kcnmb2,Ada,
Lppr1,S100a11,
Mras,Cobll1,
Lphn2,Plcg2,
Arhgap1,Cgnl1,
Rtca,Nusap1,
Rpusd1,Il33,
Gpr176,Ror1,
Vps37a,Fanci,
Smarcc2,Ptgis,
Prdx6,Tst,
Slmap,Ndufv2,
Zfp281,Rbpms,
Pmvk,Myom1,
Ing4,Hprt,
Lpcat4,Plk1,
Snrk,Tnfsf13os,
Hrasls,Npw,
Mesdc2,Nsa2-ps1,
Coq5,Tinagl1,
Atg16l1,LOC105243177,
Gucy1a2,C1s1,
5730455P16Rik,Slc39a8,
Zfp930,Scg5,
Fyco1,S100a16,
Mboat2,C030029H02Rik,
Osbpl9,Syt11,
Clasp2,Dennd2d,
Kcnk2,P2rx2,
Xiap,Nuf2,
Ube2l3,Wfdc17,
Usp4,Ascl2,
Hif1a,C1ql2,
Gabbr2,Nsl1,
Lamtor1,Fth-ps3,
Btaf1,Gng3,
Dcaf11,Snx31,
Rbm33,Ermn,
Psmd11,Kcnj13,
Srsf10,Fcgr3,
Dcaf17,Mx2,
Polr2j,Esm1,
Anxa6,Ttyh2,
Cggbp1,Tap1,
Icam5,Eps8l2,
Inpp5j,Gkn1,
Sf1,Tslp,
Dhx30,Slc7a2,
Mpnd,Olig1,
Bud31,Gng8,
Prkce,Gjc2,
Gm34245,Nr1h4,
Kctd20,Ifi27l2a,
Slc9a7,Gpr37l1,
Snrpb2,LOC105245815,
Slc35a1,Chst5,
Tef,Slfn2,
Strip1,Stmn3,
Atxn2,Corin,
Cacnb2,Col5a2,
Esco1,Cd4,
Ube2f,Dcn,
Tub,Vangl1,
Pef1,Ednrb,
Ap1b1,Tlcd1,
BC005624,Chrna6,
Satb2,Cyp2d22,
Hmgn1,Trp73,
Vipas39,Cd93,
Gpr85,Cxcl5,
Wdr37,D030045P18Rik,
Pknox2,Atp6v1g2,
Sgsm3,P2ry12,
Unc13a,Pla2g16,
Pde1b,Trim16,
Phf6,Ncaph,
Sec63,Mrc2,
Arl2,Lmod1,
Ust,Kif20a,
Dennd4a,Slco2a1,
Dgkd,Cd53,
Gpr155,Ddc,
Golga1,Sepp1,
Mbnl1,Cyb5r2,
Phax,Dnah10,
Rps21,Ect2,
Vps26b,Psd4,
Mtmr7,Lsr,
Raf1,Slc25a18,
Naa25,Myocd,
Tmem11,Tcn2,
Sema3a,Brca1,
Ppip5k1,Vamp2,
Unc5d,Tecr,
Otud4,LOC105244150,
2810403A07Rik,Upb1,
Arrb1,Plekhf1,
Fbxl3,Caskin2,
1700086L19Rik,5430435G22Rik,
Dirc2,St6galnac2,
Brd7,Tmem106a,
Ndufs5,Pdgfrb,
Wbp4,Bex2,
Ecel1,Has2os,
Lgals8,Tm4sf1,
Usp2,Pik3r5,
Cdc27,Acta2,
Sec23b,Il7,
Tnfrsf21,Abca8a,
Efr3b,Lyn,
Cdkn2aipnl,Dppa1,
Tpm4,Ppp1r1c,
Stx6,Gper1,
Mafb,Gabarapl1,
Cdk11b,Clec3b,
Ylpm1,Mlc1,
Chmp7,Nhlh2,
Elp3,LOC102632415,
Ppargc1a,Serpinb11,
Coro1c,Hmcn1,
Abcd2,Plcd4,
Wif1,Aldh1a3,
Afap1,Tctex1d1,
AI597479,Nts,
LOC105243541,Calcrl,
Xpr1,Gjb6,
Tmem44,Itgb7,
Rasal2,Crabp2,
Usp28,LOC100861615,
Tmem255a,Rfx4,
Cyld,Gngt2,
3110002H16Rik,Dll4,
Gnal,Emp1,
Glud1,Afap1l2,
Ythdf2,Slc13a3,
Gba2,Gkn3,
Daam1,Lama1,
Faim,Olfml3,
Chic1,Casp12,
Hmgcl,Ccm2l,
Prmt5,Rab3a,
Osbpl2,Chrdl1,
Lrrc59,Slc39a12,
Fbxo34,C3,
Setd3,Dynlt1c,
Pigk,Casq2,
Egfem1,Prkcd,
Ccnt2,Rtn1,
Adar,Cd37,
Dmkn,Tgfb1,
Tbk1,Krt18,
Micu1,Eva1a,
Hspa13,Eya2,
Akirin2,Tmem45a,
Nrg3,LOC101055754,
Nr2f1,Olfr111,
Fam208a,Bglap2,
Dock7,Ptrf,
Ppip5k2,Sit1,
Fat3,Kif19a,
Fam65b,Lgals9,
Cldn12,Serping1,
Dixdc1,Adamts19,
Rnpep,Bcas1,
Zfp386,Myh11,
Gm34690,Mpeg1,
Zfp277,Tmem255b,
Gm20071,Ndufa4l2,
Csnk1g3,Cxcr4,
Actr3,Lcat,
Rbm8a,Kcnj10,
Nfil3,Gcnt1,
Kcmf1,Prkch,
Nus1,Pcolce,
Fam13b,Fn1,
Rbm7,S1pr1,
Nmb,Cxcl16,
Slitrk2,Cnn1,
Hectd1,Ttk,
Parva,Klf4,
Jmjd1c,Renbp,
Commd6,Lyve1,
Pnrc2,Scn10a,
St8sia4,Fcgrt,
Cdc7,Kank1,
Derl1,Myrf,
Arhgef7,Kynu,
Arf2,Cdc25c,
1110057K04Rik,Ms4a6b,
Mrpl15,LOC105243156,
Rab9,Gpr139,
Trappc11,Unc93b1,
Snhg4,Prima1,
Mrps18c,9530026P05Rik,
Kmt2c,Sp140,
Eea1,Steap3,
Ctsf,Rad54b,
Lamp2,Crip1,
Zfp2,LOC105246048,
Nbeal1,Erg,
Cyb5b,Slc12a7,
Tbc1d23,Ushbp1,
1190002N15Rik,Piezo2,
Mllt3,D7Ertd443e,
Wars,AF251705,
Stambp,Xdh,
Ptcd2,Mrvi1,
Fgf1,Slco2b1,
Micu3,Tmem98,
Btbd9,Cd38,
Pum1,Psmb8,
Atl2,Nes,
Nvl,Gstm2,
Plaa,Myl9,
Rpl38,LOC105242721,
Fam169a,Anxa1,
Ndst3,Gjb1,
Elof1,Prrx2,
Crebzf,Nipal4,
Foxg1,Trim25,
Plxdc2,Rcn3,
Dram2,Syt15,
Thnsl1,P2ry6,
Mrps7,Cd40,
St3gal6,Slc9a3r1,
Snx27,5730435O14Rik,
Gm15459,Trf,
Zmym3,Car3,
Dnajc19,Phkg1,
Brd8,Cspg4,
Peli1,Ms4a6d,
Edn3,Atp13a5,
Tug1,Slc19a3,
Rpl19,Cmtm5,
Arx,Cd79a,
Ncoa2,Insc,
Entpd6,Tbxas1,
Ryr3,F11r,
Mlx,Atp13a4,
Slc39a7,Jag1,
Zfp846,Ltc4s,
Senp2,Rlbp1,
Mecp2,Adamtsl4,
Zfp354c,Gja1,
Ric8,Ehd2,
Tapt1,Plekhg3,
Zkscan3,Mup3,
Fam155a,LOC105246959,
Tnpo1,Psmb9,
Polr2h,Foxc1,
Fbxo21,Kdelr3,
Cul5,Wnt6,
Rps8,Cdc42ep1,
Pak7,Smad6,
Amy1,Itga1,
Mark3,Tek,
Bmp1,Fli1,
Mast2,Ldlrap1,
Rnf2,Emcn,
Npepps,Col13a1,
Sh2d5,E030019B13Rik,
Rnf130,Cd163,
Pyurf,Gtf2a1l,
Nudcd3,Vtn,
Smc5,Lbp,
Tsr2,LOC105243028,
Coq9,Cd9,
Gm32843,Asgr1,
Vps45,Cyth4,
Rnf6,Slc7a10,
Ccdc32,Ecm2,
Hiatl1,Adora2b,
Ptprg,Epas1,
Ssbp1,Nkx2-1,
Akirin1,Enpp6,
Dgcr2,Foxq1,
Faxc,Alpl,
Hapln4,Rab11fip1,
Ccny,Bmp6,
Nrip1,Rhbdl2,
Zcchc11,Msn,
Rab39b,P2ry13,
Rps15,Aox3,
Inpp5k,Vstm4,
Mmd2,Ube2c,
Limk2,Eva1b,
Smarca4,LOC102636037,
Lta4h,Pdzk1ip1,
Ophn1,LOC102634900,
Psme4,Sec14l5,
Ankrd11,Arhgef19,
Macrod2,Ifi203,
Hspa14,2900052N01Rik,
Tmem29,Matn4,
Faah,H2-DMb1,
Cnot10,Hs3st6,
Grip1,Foxj1,
Fam73a,LOC102638891,
Glrx2,Hsd17b2,
Dscr3,Lamb2,
Tmem161b,LOC100861618,
Zc4h2,Bfsp2,
Limd2,Cox4i2,
Nsun2,Des,
Etfa,Higd1b,
Lrpprc,Olfr110,
Dido1,Fcrls,
Spin1,Spp2,
Ankmy2,Gpr39,
Ap2b1,Ranbp3l,
Wrnip1,Hrct1,
Lrrn2,Mpzl2,
Asic1,5430416O09Rik,
Rpp14,Rcsd1,
Rsf1,Itih2,
Slc4a7,Cox8b,
Cpsf3,LOC105243532,
Large,Hspb1,
Tpst1,LOC105243551,
Sec11a,Smagp,
Cdh7,Mcam,
Ascc3,Cd300a,
Mdn1,Ednra,
Atp13a2,Cdkn2c,
Kdm5a,Enpep,
Lias,Mir6390,
Uros,LOC102638590,
Gna11,Fcgr1,
Zdhhc21,Csf1r,
Cnot6,Fhl3,
Hcfc2,Car1,
Parp2,Fcgr2b,
Pdia4,Serpinb1a,
Prune2,Irgm2,
Gnpat,Anxa3,
Mapk14,4930523C07Rik,
Mpp6,Ncf1,
Ndufaf3,Omd,
Far2,Mrc1,
Nt5c2,Klk9,
Gnb2,Ddx60,
Zfyve16,LOC105245083,
Ufl1,Ppp1r3g,
Zfp157,Cdca2,
Nfasc,C2,
Shisa8,Vcam1,
Zfp106,Vamp5,
Uba6,Grin2c,
Snph,Galnt6,
Sacs,Mgst1,
Nat8l,Btbd16,
Fbxl4,Notum,
LOC105246134,Mal,
Man1a,Ccl19,
Dnajc9,4930553C11Rik,
2810025M15Rik,LOC105244119,
Irgm1,Nid1,
Cnot6l,F13a1,
Ssna1,Mog,
Samm50,Dock8,
Akr1e1,Gbp3,
Pex3,Casc5,
Igip,Lhx1os,
Gm9866,Mlxipl,
Vps11,Fcer1g,
Slc16a7,Alx4,
Adi1,Laptm5,
Mrap2,Slc22a18,
Ncbp1,Rbpms2,
Tmub2,Abi3,
Kdm1a,Fa2h,
Fam120a,Cybb,
Mpped2,Ppic,
Cystm1,Mgl2,
Zfp758,Etnppl,
Slc35b4,Ptpn18,
Eif2ak1,Tyrobp,
Rpl13,Ano1,
Pdzd2,Ogn,
Bag4,Axl,
Dopey1,Slc38a11,
Nudt9,Pm20d1,
Phpt1,Tmem173,
LOC105244000,Ifitm3,
Sos1,Wfdc1,
Tbc1d15,Sgk2,
Tnrc6b,LOC105244487,
Arfgap1,Ly86,
Abca5,Ccnb1,
Nmt2,Itgam,
Gng7,She,
Stag1,Il1a,
Galt,Serpinh1,
Stk16,Kdr,
Dcaf13,Sdc4,
Mysm1,Ppp1r14a,
Rbm28,Bgn,
Tubgcp5,Cdk1,
Ilk,Ebf3,
Snx4,Ctss,
Cgref1,Aqp4,
Carkd,Pecam1,
Tle2,Snord35b,
C530008M17Rik,Folr2,
Snrnp200,1190002F15Rik,
Itch,Sox7,
Ubfd1,Mir143hg,
Tank,Cyp27a1,
Slc25a39,Cldn5,
Sec22b,Aoah,
Cux1,Spo11,
9030624J02Rik,C1qb,
U2af1l4,C1qc,
Erc1,Nuggc,
Letm1,Selplg,
Mrpl3,Lhx5,
Otub2,Zfp36l1,
Mau2,Kif2c,
Trmt1,Pf4,
Faf1,Slco1c1,
Pde1c,Ctsh,
Gpd2,Glns-ps1,
Fam162a,Slc6a13,
Ufm1,Crybb1,
Ap5m1,Ccl2,
Aftph,Sox17,
Psph,Atp2a3,
Ciapin1,Gli3,
Ezh1,Pld4,
Mtdh,Sox10,
Dclk2,Folh1,
Pigu,Cd82,
Tmem14c,Tnfaip8l2,
Msl1,Gstt3,
Gtf2i,Gng11,
Avpi1,Zic1,
Yipf3,Efhd1,
Mapk8ip2,Opalin,
Dync1li1,Cd36,
Fer,Gbp6,
Atp9b,Nkx6-2,
Rasa2,2310015B20Rik,
Ppp2r5e,Slc38a3,
Mphosph8,Pglyrp1,
Tpp1,Chst3,
Trappc3,Abcc9,
Sec31a,Zfp488,
Tmem261,Emr1,
Arl15,C1qa,
Dcaf8,Prelp,
Anapc2,Col4a6,
Rab3gap1,Pla1a,
Arhgef25,Abcb1a,
Stau1,Alox5,
Cep350,Lef1,
Ccser1,Lag3,
Fcho2,Fyb,
Nub1,Txnip,
Glcci1,Ly6c1,
Med13,Gstm2-ps1,
Slc12a6,Pear1,
Xab2,Cx3cr1,
Spred2,Ly6a,
Timm22,Lfng,
Baz2b,Ebf1,
Phb2,Cyba,
Zfp37,1700047M11Rik,
Myh10,Fmod,
Smim18,Troap,
Oxtr,Top2a,
Dhps,Tbx2,
Ppp2r4,Flt1,
Angel2,Pbk,
Ift46,Cdh19,
Exoc7,Itih3,
Trappc8,Hsp25-ps1,
Jazf1,Lrrk1,
Zfp318,Ggt5,
Ireb2,Cd48,
Rab11fip3,H2-Q7,
Zfp711,Cfh,
Fry,Rgs18,
Fpgt,Mmrn2,
Trpc3,Stab1,
Sema5b,Gjc3,
Nwd2,Rarres2,
Aimp2,Neu4,
Prpf18,Col1a2,
Zfp426,Hmha1,
Fnip1,Tcf7l2,
Papss1,Plscr1,
Cacnb3,Iigp1,
Atp13a1,Tnf,
H2afv,Lum,
Cog7,Olig2,
Gm28175,4632428N05Rik,
Senp6,Cldn11,
Smarca1,Grap,
Tmem175,Vav1,
Svip,Robo4,
Zfp763,F830016B08Rik,
Rab11fip2,Fam180a,
Fzr1,Sp110,
Ppp6r3,Sp100,
Lsm3,Oaf,
Mia3,Cyp4f15,
Gtf2h2,Col1a1,
Ubl7,Siglech,
Bzrap1,Prr5l,
Slc25a44,Bdh2,
Nlgn1,Cyyr1,
Ampd2,Gpr17,
Pex19,4930452G13Rik,
Trib2,Ggt1,
Lrrc7,Sema3g,
Ddx6,Map3k7cl,
Calca,BC051019,
Stard5,Olfr558,
Hivep3,Spi1,
Magef1,Slco1a4,
Ccdc50,Sigirr,
Zfp869,Bnc2,
Ep400,Ccr5,
Rps19,AU021092,
Pfkfb3,Fzd2,
Slc50a1,Tbx1,
Pde8b,Slc6a20a,
Uggt1,Hmgcs2,
Trp53inp2,Eltd1,
Ddx42,Slc13a4,
Ubxn1,Srgn,
Hrh2,Ticrr,
Ncstn,C030018K13Rik,
Sestd1,Epsti1,
1110058L19Rik,Slfn5,
Hltf,Mecom,
Zfp40,Ly6i,
Vps53,Heyl,
Slc30a5,Aspn,
Ppap2a,Fgd2,
Farsa,5930403L14Rik,
Cipc,Ifitm1,
Gm29711,H2-Ab1,
1110001J03Rik,Slc2a4,
Smad2,Pdpn,
Mterf3,Kcnmb1,
Klhl12,Zic3,
Taf1b,Vwf,
Ralgps2,Slc22a8,
Zfp715,Csf3r,
Pax6,Aspa,
Mtpap,H2-Q4,
Zfp512,Car13,
Supt16,Kcnj8,
Etv5,Aldh1a2,
Hace1,Rhoh,
Med7,Msr1,
Zfp35,Lyz1,
Tmed5,Nat8,
Ash2l,Cd84,
Tcea2,Tnfsf10,
Stx3,LOC105244011,
Clk3,Tfap2b,
Anxa5,Ccl24,
Pcgf5,2700046A07Rik,
Mrpl33,Dct,
Ubap1,Rassf9,
Kdm4c,Cd14,
Tmem158,Erbb3,
Gm20300,Clec2d,
Cfap69,Car14,
Srebf2,Ms4a7,
AU041133,Aoc3,
Porcn,Susd3,
Asic4,Gpr116,
Pomgnt1,Ccl5,
Lrrcc1,AW112010,
Phf5a,Tie1,
Tra2a,Cxcl10,
Gle1,H2-Q6,
Mccc1,Zic4,
Nedd4l,Col4a5,
Errfi1,Ifi47,
Mrpl40,Igf2,
Tspyl5,Tmem119,
Syncrip,Ninj2,
Creb1,Olfml1,
Narf,Il2rg,
Mrpl32,Snai1,
Ift27,Gata2,
Nsmce2,LOC102638773,
Uhrf2,Col3a1,
Spast,Gjb2,
Zkscan1,Hhex,
Dot1l,Gpr20,
Wdr26,H2-Q1,
Fbxo45,Slc38a5,
LOC105242947,LOC105244391,
Fam105a,Ctla2a,
A230050P20Rik,Mir150,
Ipo11,Lamc3,
Stoml1,Ace2,
Sstr1,Adap2,
Wdyhv1,C5ar1,
Bpnt1,Mir126a,
Rbm26,Tmem63a,
Slc36a4,Bin2,
Ttc8,C4b,
Pafah1b3,Clec4a2,
Zfp563,Tbx18,
Pdk1,Cxcl9,
Pth2r,Bcl2a1b,
Gyg,Bmx,
Kctd8,Adcy4,
Asb8,Ecscr,
Nifk,Fcna,
Dlx5,Nkx2-2,
Myh13,Cd86,
Parp8,Icam2,
Bpgm,Cd33,
Aasdhppt,Insrr,
Pts,Fgfbp1,
2010300C02Rik,Slc22a6,
Cab39l,Ccl7,
Chrm1,Gbp2,
Tox4,Clec4a3,
Mospd1,Slc6a12,
Zmat1,LOC105245679,
Etf1,Foxs1,
Ubr2,H2-Aa,
Gm33585,Gbp4,
Csnk1e,2610035F20Rik,
Grm2,Plscr2,
Shoc2,Clec4a1,
Pou3f2,Cdh5,
Samd10,Plxnb3,
Sult2b1,Bcas1os2,
Arl5a,Cldn14,
Zpr1,Zbp1,
Plxnc1,Ctla2b,
Hgs,Ms4a4a,
Pnpt1,Ifi204,
Gca,Slc52a3,
Gm17066,LOC102633322,
Rbm42,Tbx3,
Zfp191,Foxd1,
Ap1ar,Tgtp1,
Dnajb2,Lilrb4,
Cyfip1,F630028O10Rik,
Aldh3a2,Foxf2,
Vps4b,Ccr1,
Fam133b,Msx1,
Arid1a,Alx3,
Bloc1s6,Cysltr2,
Trappc12,Cbr2,
Yme1l1,LOC105244608,
Dpcd,AI607873,
Cntn5,Mir7049,
Lyrm2,Tgtp2,
Sp4,LOC105245153,
Frmd5,Gbp8,
2410004B18Rik,Foxd2os,
Rimbp2,Cd9-ps,
Arl3,Six2,
Ebag9,Gbp10,
4930402H24Rik,Ly6c2,
Hipk1,Anpep,
Zfp420,Foxc2,
Srsf12,Cytl1,
Ubtd2,Trim12a,
Sall1,Mnda,
Ubxn6,LOC105243044,
Senp7,LOC105246387,
Zfp639,Clec4n,
Zfp451,,
Ube3c,,
Ccdc184,,
Pigp,,
Rap2a,,
Glce,,
Sgpp1,,
Aldh6a1,,
Cobl,,
Noc2l,,
4933434E20Rik,,
Wdr36,,
Slc5a3,,
Atg101,,
Myo1b,,
Trip11,,
Fau,,
2610507B11Rik,,
Angpt1,,
Clpx,,
Tsen34,,
Prps2,,
Golga7b,,
Fam136a,,
Eif2a,,
Urod,,
Smarca5,,
Plxna2,,
Pgap1,,
Cthrc1,,
Klf5,,
Tipin,,
Fbxl17,,
Mdm2,,
Gprin1,,
Trnt1,,
Add3,,
Ppm1g,,
Fam84a,,
Kbtbd7,,
Pfdn6,,
D3Ertd254e,,
Mrpl9,,
Pim2,,
Nelfb,,
Arid2,,
Zfp317,,
Hdac11,,
Hdac5,,
Drap1,,
Nucb1,,
Ccdc91,,
Myo9b,,
Eml1,,
Esf1,,
St7,,
Mydgf,,
Tsc2,,
Memo1,,
2010111I01Rik,,
Osgep,,
Ppp1r12b,,
Cdk4,,
Ten1,,
Cnot1,,
Dnaja3,,
Topors,,
Ssbp3,,
Scrn1,,
Hecw2,,
Hunk,,
Slitrk3,,
Surf4,,
Mrpl45,,
Timm50,,
Hgsnat,,
Erbb2ip,,
Zfp800,,
Psmb10,,
Lcor,,
Pxdn,,
Dcdc2a,,
Riok3,,
Tmem165,,
Vps39,,
Nfat5,,
Zfp942,,
Gripap1,,
Arntl,,
Wdr75,,
Dip2b,,
Cdk19,,
Coa5,,
Kitl,,
Sgce,,
Dkc1,,
Rfng,,
Fam210b,,
Phf3,,
Bcl7b,,
Spryd3,,
Tubgcp2,,
Pde9a,,
Snrpa,,
Tctn3,,
Ecd,,
Snapc5,,
Wnk1,,
Sla,,
Gm21885,,
Rbm17,,
Fam107b,,
Wwox,,
Commd7,,
Chst10,,
Hdgfrp2,,
LOC105245781,,
Eif6,,
Exoc6,,
Ankrd40,,
Bdp1,,
Chmp1a,,
Mib1,,
Ranbp3,,
Mical3,,
1700066M21Rik,,
Nfs1,,
Cib2,,
Impdh1,,
Zfp945,,
Gpaa1,,
Nup85,,
Dnal4,,
Ptgs1,,
Rps15a,,
Prpf38b,,
Btg2,,
Smarcad1,,
Sp3,,
Desi1,,
Kdm5d,,
Sirt2,,
Ctdspl2,,
Mrpl11,,
Atp11c,,
Camsap1,,
Sarnp,,
Tmem57,,
Ifit3,,
Yipf1,,
Cd99l2,,
Rere,,
Fn3k,,
Rnf141,,
Morc3,,
Rpgr,,
Mrpl10,,
Twsg1,,
Aldh5a1,,
Emd,,
Pcna,,
Mapk1ip1,,
Tyro3,,
Ttc5,,
Blvra,,
Med22,,
2010315B03Rik,,
Dph3,,
Rragd,,
Frg1,,
Pcdhb7,,
Hcrtr2,,
Hbp1,,
Cep290,,
Tcf12,,
Bbs7,,
Alkbh6,,
Chd5,,
Fads1,,
Tmem87b,,
Fastkd2,,
Ddx47,,
Rsrc1,,
Lonp1,,
G3bp1,,
Lrrc4,,
Galntl6,,
Adsl,,
Gm14480,,
Snapc1,,
Slc6a6,,
Tbl1xr1,,
Gemin7,,
Nt5c3b,,
D15Ertd621e,,
Ppp2r5b,,
Morn4,,
Gclc,,
Dpp8,,
Nudt18,,
BC030499,,
Cxxc5,,
Faf2,,
Shisa6,,
Mak16,,
Fip1l1,,
Nbl1,,
Drosha,,
Fam58b,,
Zc3h12c,,
Cul4b,,
Nsmaf,,
Gtf2h1,,
Cacna1b,,
Mrpl37,,
Ubp1,,
Nudt16l1,,
Mrps10,,
Pik3r3,,
Dgke,,
Rab8b,,
Gm35431,,
Mab21l1,,
Rpp30,,
Esrrg,,
Atf7ip,,
Bean1,,
Glra3,,
Fbxo28,,
Golga7,,
Cntn3,,
Zfp948,,
Egr2,,
Ipo13,,
Dhx32,,
9530059O14Rik,,
Exosc10,,
Zbtb4,,
Bri3bp,,
Ap3m1,,
Sox5,,
Rps6kb2,,
Simc1,,
Zufsp,,
2010107G23Rik,,
Rxfp3,,
Fam20b,,
Atad3a,,
Flcn,,
Mrps35,,
Yrdc,,
Agpat5,,
Zdhhc3,,
Ppm1b,,
Dmwd,,
1-Mar,,
Zfc3h1,,
Bckdk,,
Srprb,,
Inpp1,,
Med24,,
Uso1,,
Ganab,,
Selt,,
Smyd3,,
Kdm5b,,
Cirh1a,,
Mfn1,,
Mdga2,,
Rars2,,
Zmym5,,
Ankrd33b,,
Rpl10,,
Gnai3,,
Mtmr1,,
Arsb,,
Tmem167b,,
Slc9a3r2,,
Lpin1,,
Nol11,,
Ddx39,,
Agtr2,,
Smarcal1,,
Rasd1,,
Ctr9,,
Lhfp,,
Fam114a2,,
Dnajc12,,
Bmper,,
Tshz1,,
Npas4,,
Atg5,,
Itpa,,
Pdzd8,,
Hist3h2a,,
Rcan1,,
St6galnac5,,
